task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	9b/00863c	648564	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-02-24 14:36:40.414	1m 20s	1m 19s	5.9%	5.2 MB	7.9 MB	3.8 GB	3.8 GB
3	1e/00d21a	648600	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-02-24 14:36:40.422	1m 21s	1m 20s	4.6%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
8	b5/db433b	648626	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-02-24 14:36:40.432	1m 38s	1m 37s	6.4%	5.1 MB	7.9 MB	4.8 GB	4.8 GB
4	f3/2a4f43	648460	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-02-24 14:36:40.383	1m 47s	1m 45s	6.1%	5.2 MB	7.9 MB	5 GB	5 GB
6	c6/d42c0f	648473	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-02-24 14:36:40.394	2m 10s	2m 9s	7.0%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
7	08/69456d	648497	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-02-24 14:36:40.401	2m 21s	2m 20s	7.1%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
5	8a/284622	648528	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-02-24 14:36:40.408	2m 32s	2m 31s	7.4%	5.2 MB	7.9 MB	7.9 GB	7.9 GB
10	dd/3ca13c	648636	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-02-24 14:36:40.439	2m 36s	2m 34s	7.1%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
13	6f/b689d7	659873	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-02-24 14:38:01.915	1m 54s	1m 53s	199.4%	689 MB	4.5 GB	3.2 GB	4 MB
12	1b/1b5a5f	659423	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-02-24 14:38:00.665	2m 17s	2m 16s	199.1%	693 MB	4.3 GB	3.8 GB	4 MB
