task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
87	83/209fd2	2518682	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KA2)	COMPLETED	0	2023-10-09 18:54:17.614	5.8s	4s	123.1%	12.9 MB	220.9 MB	547.5 MB	5.4 KB
93	f4/0d4332	2518655	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA1)	COMPLETED	0	2023-10-09 18:54:17.610	8.6s	7s	124.9%	12.9 MB	220.9 MB	947.9 MB	5.4 KB
92	58/5b537e	2518636	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (KA1)	COMPLETED	0	2023-10-09 18:54:17.606	9.7s	8s	135.3%	14.3 MB	228.8 MB	374 MB	113.7 KB
95	e7/7a5990	2518646	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NB2)	COMPLETED	0	2023-10-09 18:54:17.608	10s	9s	122.5%	12.9 MB	220.9 MB	1.1 GB	5.4 KB
84	79/014658	2518778	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KB2)	COMPLETED	0	2023-10-09 18:54:17.624	10.8s	6s	119.9%	12.9 MB	220.9 MB	849.7 MB	5.4 KB
100	57/d70bff	2518963	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NB1)	COMPLETED	0	2023-10-09 18:54:17.648	11.1s	7s	117.5%	12.8 MB	220.9 MB	871.1 MB	5.4 KB
102	ef/660de7	2520939	NFCORE_METATDENOVO:METATDENOVO:COLLECT_FEATURECOUNTS (megahit.prodigal)	COMPLETED	0	2023-10-09 18:54:19.421	9.4s	6s	128.9%	246.4 MB	5.1 GB	12.7 MB	13.5 MB
81	1d/4707b8	2518621	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (KA2)	COMPLETED	0	2023-10-09 18:54:17.601	12.6s	11s	137.6%	14.7 MB	228.8 MB	547.5 MB	116 KB
90	bb/41be51	2520896	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KB1)	COMPLETED	0	2023-10-09 18:54:19.410	11s	7s	121.7%	12.7 MB	220.9 MB	1.1 GB	5.4 KB
101	21/312464	2518998	NFCORE_METATDENOVO:METATDENOVO:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA2)	COMPLETED	0	2023-10-09 18:54:17.653	12.9s	10s	124.2%	13 MB	220.9 MB	1.2 GB	5.4 KB
105	b3/7d5b49	2531918	NFCORE_METATDENOVO:METATDENOVO:SUB_EUKULELE:SUM_TAXONOMY (megahit.prodigal)	COMPLETED	0	2023-10-09 18:54:28.835	3.9s	3s	128.2%	295.8 MB	3.5 GB	33.1 MB	55.8 MB
