task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	5d/6e1c1b	2903905	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-03-11 12:57:16.897	1m 12s	1m 11s	5.7%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
9	4e/7da788	2903883	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-03-11 12:57:16.889	1m 42s	1m 41s	4.8%	5.2 MB	7.9 MB	3.8 GB	3.8 GB
8	a7/2ca491	2903930	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-03-11 12:57:16.903	2m 11s	2m 10s	4.9%	5.2 MB	7.9 MB	4.8 GB	4.8 GB
4	77/f835f8	2903949	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-03-11 12:57:16.910	2m 21s	2m 19s	4.8%	5.3 MB	7.9 MB	5 GB	5 GB
6	dd/033c81	2903983	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-03-11 12:57:16.920	2m 59s	2m 58s	5.2%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
11	5a/765d8e	2914195	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-03-11 12:58:28.555	1m 52s	1m 50s	196.7%	663.9 MB	4.3 GB	3.2 GB	4 MB
7	a8/9d1f74	2903862	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-03-11 12:57:16.876	3m 11s	3m 10s	5.4%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
5	cc/1f3b08	2904046	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-03-11 12:57:16.937	3m 19s	3m 18s	5.8%	5.2 MB	7.9 MB	7.9 GB	7.9 GB
10	1b/c41449	2904013	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-03-11 12:57:16.928	3m 23s	3m 21s	5.6%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
13	56/33a990	2921080	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-03-11 12:58:58.586	2m 42s	2m 42s	170.6%	647.7 MB	4.5 GB	3.8 GB	4 MB
