gene
actP
aprO
araC
atpC
ccmC
ccoN
coxN
ctp
dctM
dds
fig3573
fld
fleQ
gltK
glyX
hcbr
hyp
ioppp
l3p
lonp
moaA
mor
mraY
mtsp
mxaF
nqrB
nqrE
nucT
nuSN
oacps
oprO
pcf
pet
pfp
prd
psaC
psbC
rbc
rtx
sdgt
sdhD
secD
secE
soh
str
strp
ttdt
