task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	86/70252f	3484669	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-02-27 02:09:27.424	54.5s	53.6s	6.6%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
9	d3/06409a	3484735	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-02-27 02:09:27.437	1m 16s	1m 15s	5.8%	5.1 MB	7.9 MB	3.8 GB	3.8 GB
8	d7/d2ebc4	3484697	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-02-27 02:09:27.430	1m 39s	1m 38s	5.7%	5 MB	7.9 MB	4.8 GB	4.8 GB
4	30/e5a2e8	3484796	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-02-27 02:09:27.455	2m	1m 59s	5.2%	5.2 MB	7.9 MB	5 GB	5 GB
7	58/2c8dcb	3484647	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-02-27 02:09:27.418	2m 29s	2m 28s	6.3%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
6	0b/10a4db	3484825	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-02-27 02:09:27.463	2m 33s	2m 32s	5.8%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
10	67/e00e26	3484632	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-02-27 02:09:27.408	2m 36s	2m 35s	6.7%	5.3 MB	7.9 MB	7.7 GB	7.7 GB
5	15/d132f5	3484766	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-02-27 02:09:27.446	2m 41s	2m 39s	6.7%	5.2 MB	7.9 MB	7.9 GB	7.9 GB
11	3a/00a484	3493534	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-02-27 02:10:21.992	1m 52s	1m 51s	198.7%	656.4 MB	4.4 GB	3.2 GB	4 MB
14	63/6e2c84	3499687	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-02-27 02:10:43.402	2m 21s	2m 21s	193.2%	673.3 MB	4.5 GB	3.8 GB	4 MB
16	b3/63c45b	3510758	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA2)	COMPLETED	0	2025-02-27 02:11:56.141	2m 54s	2m 53s	189.6%	708.1 MB	4.5 GB	4.8 GB	4.7 MB
17	e1/4fcb0f	3512820	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	COMPLETED	0	2025-02-27 02:12:08.036	2m 48s	2m 47s	196.8%	751 MB	4.4 GB	5 GB	4 MB
19	a2/42f4b7	3514333	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA1)	COMPLETED	0	2025-02-27 02:12:14.204	3m 45s	3m 44s	196.9%	710.3 MB	4.5 GB	7.1 GB	4.1 MB
12	c9/b57d68	3493524	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA1)	COMPLETED	0	2025-02-27 02:10:21.985	5m 51s	5m 50s	671.6%	446.7 MB	3.8 GB	62.5 GB	59.2 GB
21	61/bfb25b	3519211	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB2)	COMPLETED	0	2025-02-27 02:13:04.840	3m 17s	3m 16s	196.4%	672.4 MB	4.4 GB	6.6 GB	4.1 MB
27	47/ace829	3536985	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA1)	COMPLETED	0	2025-02-27 02:16:22.101	2m 10s	2m 9s	673.4%	13.9 GB	42.7 GB	4.9 GB	1.6 GB
24	33/cf4f55	3527247	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB2)	COMPLETED	0	2025-02-27 02:14:50.269	4m 22s	4m 22s	196.9%	755 MB	4.4 GB	7.7 GB	4.1 MB
25	c5/eecd7e	3528184	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB1)	COMPLETED	0	2025-02-27 02:14:56.116	4m 28s	4m 27s	197.5%	717.1 MB	4.5 GB	7.9 GB	4.1 MB
28	8e/7bd666	3552053	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KA1)	COMPLETED	0	2025-02-27 02:18:32.634	2m 17s	2m 16s	105.3%	6.3 MB	14.2 MB	1.6 GB	1.6 GB
13	af/c5aad9	3534277	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NB1)	COMPLETED	0	2025-02-27 02:16:13.209	6m 24s	6m 24s	744.1%	452 MB	3.9 GB	74.1 GB	70.2 GB
29	93/413b32	3563723	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NB1)	COMPLETED	0	2025-02-27 02:22:38.523	2m 12s	2m 12s	728.9%	19.3 GB	42.8 GB	7.1 GB	3.9 GB
15	d1/43c96c	3563518	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NA2)	COMPLETED	0	2025-02-27 02:22:37.515	5m 11s	5m 11s	731.2%	462.2 MB	3.8 GB	86 GB	81.2 GB
31	83/874825	3585911	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NA2)	COMPLETED	0	2025-02-27 02:27:49.695	2m 10s	2m 10s	698.5%	17.5 GB	42.7 GB	9 GB	7 GB
30	f7/2151e8	3576995	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NB1)	COMPLETED	0	2025-02-27 02:24:51.763	5m 27s	5m 26s	106.1%	6.3 MB	14.2 MB	3.9 GB	3.9 GB
32	44/b59d2a	3602324	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NA2)	COMPLETED	0	2025-02-27 02:30:00.966	4m 53s	4m 52s	111.9%	6.3 MB	14.2 MB	7 GB	6.8 GB
18	10/997e37	3585629	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA2)	COMPLETED	0	2025-02-27 02:27:48.689	8m 11s	8m 11s	722.6%	487.8 MB	3.8 GB	97 GB	92 GB
33	4c/590673	3620497	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA2)	COMPLETED	0	2025-02-27 02:36:00.862	2m 10s	2m 9s	688.1%	27.4 GB	42.9 GB	7 GB	2.4 GB
34	9d/c0bb65	3634846	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KA2)	COMPLETED	0	2025-02-27 02:38:11.557	3m 17s	3m 16s	105.7%	6.2 MB	14.2 MB	2.4 GB	2.4 GB
20	75/ec664b	3620295	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NA1)	COMPLETED	0	2025-02-27 02:35:59.855	11m 43s	11m 43s	735.9%	512 MB	3.8 GB	138.5 GB	131.3 GB
35	06/bd39e1	3657881	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NA1)	COMPLETED	0	2025-02-27 02:47:44.222	2m 31s	2m 30s	682.8%	27.5 GB	42.8 GB	10.4 GB	4.2 GB
36	33/e5fa5d	3673834	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NA1)	COMPLETED	0	2025-02-27 02:50:16.141	5m 33s	5m 33s	106.6%	6.3 MB	14.2 MB	4.2 GB	4.2 GB
22	d1/1a9e2a	3657679	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KB2)	COMPLETED	0	2025-02-27 02:47:43.217	11m 5s	11m 4s	734.0%	459.3 MB	3.8 GB	129.3 GB	122.6 GB
37	a3/558655	3696583	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KB2)	COMPLETED	0	2025-02-27 02:58:49.110	2m 26s	2m 26s	687.3%	27.5 GB	42.7 GB	9.7 GB	3.7 GB
38	6e/62569e	3712323	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KB2)	COMPLETED	0	2025-02-27 03:01:16.519	5m 3s	5m 3s	106.0%	6.2 MB	14.2 MB	3.7 GB	3.7 GB
23	9b/e6f7be	3696388	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NB2)	COMPLETED	0	2025-02-27 02:58:48.103	12m 59s	12m 58s	739.0%	449.1 MB	3.8 GB	151.7 GB	143.9 GB
39	2a/e6937e	3737501	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NB2)	COMPLETED	0	2025-02-27 03:11:46.832	2m 38s	2m 37s	699.0%	27.4 GB	42.7 GB	11.9 GB	5.3 GB
40	c6/6ca4e0	3754351	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NB2)	COMPLETED	0	2025-02-27 03:14:24.458	7m 2s	7m 2s	106.5%	6.3 MB	14.2 MB	5.3 GB	5.2 GB
26	fa/a4dca2	3737469	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KB1)	COMPLETED	0	2025-02-27 03:11:46.812	13m 8s	13m 7s	736.1%	451.5 MB	3.8 GB	154.9 GB	146.9 GB
41	d5/c6b615	3780700	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KB1)	COMPLETED	0	2025-02-27 03:24:54.904	1m 58s	1m 57s	735.9%	27.5 GB	42.8 GB	11.7 GB	4.9 GB
42	35/b33458	3783942	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KB1)	COMPLETED	0	2025-02-27 03:26:52.477	5m 55s	5m 55s	108.7%	6.3 MB	14.2 MB	4.9 GB	4.9 GB
43	12/c096fe	3790476	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBNORM (all_samples)	COMPLETED	0	2025-02-27 03:32:47.964	15m 5s	15m 5s	1983.4%	19.9 GB	28.2 GB	145.4 GB	118.1 GB
44	5c/39ef20	3806741	NFCORE_METATDENOVO:METATDENOVO:WRITESPADESYAML (spades.yaml)	COMPLETED	0	2025-02-27 03:47:53.416	2s	0ms	150.0%	0	0	40.3 KB	1 KB
45	d9/5e4a39	3807087	NFCORE_METATDENOVO:METATDENOVO:SPADES (spades)	COMPLETED	0	2025-02-27 03:47:55.482	10m 15s	10m 15s	1223.2%	10.9 GB	16 GB	14.1 GB	30.3 GB
46	cc/ea0471	3816640	NFCORE_METATDENOVO:METATDENOVO:FORMATSPADES (spades)	COMPLETED	0	2025-02-27 03:58:10.379	10.6s	10s	124.8%	7.6 MB	16.4 MB	178.4 MB	177 MB
47	28/26808c	3817842	NFCORE_METATDENOVO:METATDENOVO:SEQTK_SEQ_CONTIG_FILTER (spades)	COMPLETED	0	2025-02-27 03:58:21.015	9.8s	9s	104.4%	7.4 MB	14.2 MB	79.1 MB	76.1 MB
48	08/327ae5	3818760	NFCORE_METATDENOVO:METATDENOVO:UNPIGZ_CONTIGS (spades.seqtk-seq.fasta.gz)	COMPLETED	0	2025-02-27 03:58:30.793	1.9s	0ms	103.1%	2.8 MB	14.6 MB	17 MB	59.1 MB
49	d6/20e814	3819005	NFCORE_METATDENOVO:METATDENOVO:BBMAP_INDEX (spades.seqtk-seq.fasta.gz)	COMPLETED	0	2025-02-27 03:58:32.657	9.7s	10s	285.4%	1.3 GB	125.8 GB	21 MB	281.3 MB
50	b3/c8aa38	3819891	NFCORE_METATDENOVO:METATDENOVO:PROKKA_SUBSETS:PROKKA (spades.seqtk-seq.1)	COMPLETED	0	2025-02-27 03:58:42.353	2m 23s	2m 23s	1262.3%	2.5 GB	34.7 GB	178.9 GB	366.7 MB
51	e5/0b26f1	3853123	NFCORE_METATDENOVO:METATDENOVO:PROKKA_SUBSETS:PROKKA (spades.seqtk-seq.2)	COMPLETED	0	2025-02-27 04:01:05.655	2m 22s	2m 21s	1201.1%	2.3 GB	34.7 GB	189 GB	359.2 MB
52	1c/9946cd	3882899	NFCORE_METATDENOVO:METATDENOVO:PROKKA_SUBSETS:PROKKA (spades.seqtk-seq.3)	COMPLETED	0	2025-02-27 04:03:27.429	2m 33s	2m 32s	1103.2%	2.4 GB	34.6 GB	215 GB	362.5 MB
53	f9/a142f6	3911182	NFCORE_METATDENOVO:METATDENOVO:PROKKA_SUBSETS:PROKKA (spades.seqtk-seq.4)	COMPLETED	0	2025-02-27 04:06:00.425	2m 42s	2m 41s	1011.3%	2.3 GB	5 GB	271.4 GB	370 MB
