task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	70/504e41	118848	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	CACHED	0	2025-02-27 08:01:43.086	2m 41s	2m 40s	5.9%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
8	ce/025bac	118913	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	CACHED	0	2025-02-27 08:01:43.109	2m 53s	2m 51s	6.1%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
3	47/6b7ed8	119063	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	CACHED	0	2025-02-27 08:01:43.143	2m 53s	2m 51s	6.3%	5.1 MB	7.9 MB	7.9 GB	7.9 GB
4	8c/32e150	118884	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	CACHED	0	2025-02-27 08:01:43.102	2m 24s	2m 23s	6.0%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
2	c9/8fab1d	119017	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	CACHED	0	2025-02-27 08:01:43.131	1m 50s	1m 49s	5.5%	5.2 MB	7.9 MB	5 GB	5 GB
7	69/d07286	118860	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	CACHED	0	2025-02-27 08:01:43.096	1m 24s	1m 23s	5.4%	5.1 MB	7.9 MB	3.8 GB	3.8 GB
1	83/d99a94	118988	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	CACHED	0	2025-02-27 08:01:43.124	1m 5s	1m 4s	5.6%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
6	c1/423df7	118952	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	CACHED	0	2025-02-27 08:01:43.117	1m 44s	1m 42s	5.5%	5 MB	7.9 MB	4.8 GB	4.8 GB
12	53/2af0fc	147868	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	CACHED	0	2025-02-27 08:04:36.097	2m 52s	2m 51s	195.2%	668.2 MB	4.5 GB	5 GB	4 MB
13	63/4eef21	128600	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	CACHED	0	2025-02-27 08:02:48.024	1m 52s	1m 51s	197.6%	663 MB	4.4 GB	3.2 GB	4 MB
