task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	f5/cf0bf1	2620856	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-02-26 18:25:34.321	50.8s	49.6s	7.0%	5.1 MB	7.9 MB	3.2 GB	3.2 GB
9	a6/3b35db	2620879	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-02-26 18:25:34.326	1m 20s	1m 19s	5.7%	5.2 MB	7.9 MB	3.8 GB	3.8 GB
8	16/c536c2	2620988	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-02-26 18:25:34.351	1m 34s	1m 33s	6.5%	5.2 MB	7.9 MB	4.8 GB	4.8 GB
4	4d/886283	2621026	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-02-26 18:25:34.364	1m 47s	1m 46s	5.9%	5.1 MB	7.9 MB	5 GB	5 GB
6	bd/6f6272	2620843	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-02-26 18:25:34.311	2m 18s	2m 16s	6.4%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
7	4c/542fa9	2621003	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-02-26 18:25:34.358	2m 28s	2m 27s	6.5%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
10	50/2223d3	2620946	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-02-26 18:25:34.341	2m 32s	2m 31s	7.0%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
5	80/f7a596	2620905	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-02-26 18:25:34.331	2m 35s	2m 34s	6.9%	5.2 MB	7.9 MB	7.9 GB	7.9 GB
12	74/28c8f0	2629361	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-02-26 18:26:25.184	1m 52s	1m 51s	200.4%	671.2 MB	4.4 GB	3.2 GB	4 MB
14	a0/644359	2636748	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-02-26 18:26:54.272	2m 23s	2m 23s	192.4%	723.7 MB	4.4 GB	3.8 GB	4 MB
