task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	a4/a2005d	163906	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-03-11 20:43:43.777	1m 4s	1m 3s	6.3%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
9	ab/15387e	163967	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-03-11 20:43:43.801	1m 40s	1m 38s	5.0%	5.2 MB	7.9 MB	3.8 GB	3.8 GB
8	3d/107723	164000	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-03-11 20:43:43.811	2m 2s	2m	5.2%	5.3 MB	7.9 MB	4.8 GB	4.8 GB
4	fc/3679fe	164063	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-03-11 20:43:43.827	2m 21s	2m 20s	4.8%	5.2 MB	7.9 MB	5 GB	5 GB
6	73/7a0b31	164105	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-03-11 20:43:43.849	2m 49s	2m 47s	5.6%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
12	f5/866352	173704	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-03-11 20:44:48.064	1m 52s	1m 50s	196.2%	703.6 MB	4.5 GB	3.2 GB	4 MB
7	61/e7af8e	163918	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-03-11 20:43:43.788	3m 1s	3m	5.7%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
10	9f/a8e4f3	163943	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-03-11 20:43:43.795	3m 16s	3m 14s	5.8%	5.3 MB	7.9 MB	7.7 GB	7.7 GB
5	57/c610a6	164039	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-03-11 20:43:43.820	3m 18s	3m 16s	5.9%	5.2 MB	7.9 MB	7.9 GB	7.9 GB
13	d2/e313d8	181464	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-03-11 20:45:23.383	2m 40s	2m 40s	171.0%	630.9 MB	4.5 GB	3.8 GB	4 MB
15	69/4f7f6a	191837	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA2)	COMPLETED	0	2025-03-11 20:46:32.453	2m 51s	2m 51s	190.4%	738.9 MB	4.5 GB	4.8 GB	4.7 MB
17	c3/a53b4c	193082	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	COMPLETED	0	2025-03-11 20:46:39.651	2m 58s	2m 57s	188.1%	654.4 MB	4.5 GB	5 GB	4 MB
20	0c/038843	196516	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB2)	COMPLETED	0	2025-03-11 20:47:01.568	3m 33s	3m 32s	192.9%	650.4 MB	4.3 GB	6.6 GB	4.1 MB
11	9d/28010e	173651	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA1)	COMPLETED	0	2025-03-11 20:44:47.984	5m 57s	5m 56s	660.8%	522.5 MB	3.7 GB	62.5 GB	59.2 GB
21	4f/eece50	202034	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA1)	COMPLETED	0	2025-03-11 20:48:03.711	3m 38s	3m 37s	197.4%	798.4 MB	4.4 GB	7.1 GB	4.1 MB
23	23/558bbe	208160	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB2)	COMPLETED	0	2025-03-11 20:49:23.383	4m 19s	4m 19s	197.4%	739.3 MB	4.5 GB	7.7 GB	4.1 MB
27	f3/0126f1	223316	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA1)	COMPLETED	0	2025-03-11 20:51:41.693	2m 9s	2m 8s	660.2%	8 GB	42.9 GB	4.9 GB	1.6 GB
26	b7/7fb609	209785	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB1)	COMPLETED	0	2025-03-11 20:49:37.994	4m 38s	4m 37s	195.6%	673.5 MB	4.5 GB	7.9 GB	4.1 MB
28	0a/f4f0f8	236443	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KA1)	COMPLETED	0	2025-03-11 20:53:52.062	2m 11s	2m 10s	107.0%	6.3 MB	14.2 MB	1.6 GB	1.6 GB
14	b9/5ee751	215166	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NB1)	COMPLETED	0	2025-03-11 20:50:45.406	6m 44s	6m 44s	708.5%	447.8 MB	3.8 GB	74.1 GB	70.2 GB
29	f0/ceae4e	245966	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NB1)	COMPLETED	0	2025-03-11 20:57:30.788	2m 13s	2m 12s	726.7%	8.6 GB	43 GB	7.1 GB	3.9 GB
16	01/700548	245759	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NA2)	COMPLETED	0	2025-03-11 20:57:29.781	5m 19s	5m 18s	722.6%	456.4 MB	3.8 GB	86 GB	81.2 GB
31	ec/6bf621	268401	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NA2)	COMPLETED	0	2025-03-11 21:02:49.850	2m 14s	2m 13s	677.9%	8.5 GB	42.6 GB	9 GB	7 GB
30	a8/609aff	259048	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NB1)	COMPLETED	0	2025-03-11 20:59:44.399	5m 29s	5m 29s	105.9%	6.3 MB	14.2 MB	3.9 GB	3.9 GB
32	64/5c99a4	285291	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NA2)	COMPLETED	0	2025-03-11 21:05:04.629	4m 57s	4m 57s	111.3%	6.4 MB	14.2 MB	7 GB	6.8 GB
18	a2/a9e41c	268204	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA2)	COMPLETED	0	2025-03-11 21:02:48.844	8m 22s	8m 21s	714.9%	451.8 MB	3.8 GB	97 GB	92 GB
33	97/eebdcf	303304	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA2)	COMPLETED	0	2025-03-11 21:11:11.385	2m 10s	2m 10s	692.5%	8.8 GB	42.9 GB	7 GB	2.4 GB
34	2c/82b779	317658	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KA2)	COMPLETED	0	2025-03-11 21:13:22.402	3m 24s	3m 24s	105.4%	6.2 MB	14.2 MB	2.4 GB	2.4 GB
19	89/469765	303102	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KB2)	COMPLETED	0	2025-03-11 21:11:10.378	11m 3s	11m 3s	735.9%	456.3 MB	3.7 GB	129.3 GB	122.6 GB
35	44/7e0d16	339833	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KB2)	COMPLETED	0	2025-03-11 21:22:14.730	2m 27s	2m 25s	692.5%	9.8 GB	42.7 GB	9.7 GB	3.7 GB
36	f8/160c87	355563	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KB2)	COMPLETED	0	2025-03-11 21:24:42.244	5m 8s	5m 8s	105.6%	6.4 MB	14.2 MB	3.7 GB	3.7 GB
